Subject.No.,Version,order,image,Surface,Planar.Straight,Spherical.Straight,Size,pointDistance (radians),pointDistance (degrees),Line.Length,Pull,rotation (degrees),Response,rt
1,1,99,Plane_2_3_(Neg)3_0_.jpg,plane,curve,arc,3.174802104,0.855032498,48.98979486,2.723022085,0.329458064,18.87657251,1,0.619390011
1,1,100,Sphere_1_5_.jpg,sphere,line,geo,2.5198421,1.553697159,89.02,3.914959354,0,0,1,0.835783005
1,1,101,Plane_0_1_(Neg)3_1_.jpg,plane,curve,arc,2,0.470542517,26.96012309,0.941968988,0.541769015,31.04110426,1,4.536203861
1,1,102,Plane_1_1_.jpg,plane,line,geo,2.5198421,0.470542517,26.96,1.185658877,0,0,1,0.802556992
1,1,103,gSphere_0_5_(Neg)2_.jpg,sphere,curve,geo,2,1.553697159,89.02036507,3.107305299,0.245008896,14.03798753,0,0.817991972
1,1,104,Plane_3_5_(Neg)4_1_.jpg,plane,curve,arc,4,1.553697159,89.02036507,6.326669317,0.838572811,48.04672344,1,0.819098949
1,1,105,Sphere_2_2_(Neg)2_.jpg,sphere,line,arc,3.174802104,0.634294209,36.342,1.96969929,0,0,0,0.901460886
1,1,106,Sphere_0_4_.jpg,sphere,line,geo,2,1.15258907,66.039,2.305112101,0,0,1,0.769361019
1,1,107,Sphere_3_3_(Neg)3_1_.jpg,sphere,curve,arc,4,0.855032498,48.98979486,3.430792844,0.560078708,32.09017327,1,1.385509014
1,1,108,Plane_0_4_(Neg)1_.jpg,plane,line,arc,2,1.15258907,66.039,2.292485199,0,0,1,2.436163902
1,1,109,gPlane_3_0_(Neg)2_.jpg,plane,curve,geo,4,0.349065556,20,1.396222222,0.211060151,12.09286607,1,1.169014931
1,1,110,Plane_2_6_2_.jpg,plane,line,arc,3.174802104,2.094393333,120,6.503803758,0,0,1,1.26953721
1,1,111,Sphere_0_2_(Neg)3_.jpg,sphere,line,arc,2,0.634294209,36.342,1.20646835,0,0,0,1.086668015
1,1,112,Sphere_2_3_(Neg)2_0_.jpg,sphere,curve,arc,3.174802104,0.855032498,48.98979486,2.718138795,0.219448049,12.57345767,1,0.881389141
1,1,113,Plane_3_2_.jpg,plane,line,geo,4,0.634294209,36.342,2.537104152,0,0,1,1.519358158
1,1,114,Plane_2_4_(Neg)4_1_.jpg,plane,curve,arc,3.174802104,1.15258907,66.03854498,3.697483861,0.77852643,44.60631638,1,1.15051198
1,1,115,Plane_2_6_(Neg)4_1_.jpg,plane,curve,arc,3.174802104,2.094393333,120,6.834862821,0.962515567,55.14812628,1,0.752388
1,1,116,gPlane_3_3_(Neg)1_.jpg,plane,curve,geo,4,0.855032498,48.98979486,3.420032012,0.109668837,6.283566828,1,1.14934206
1,1,117,Sphere_2_3_1_.jpg,sphere,line,arc,3.174802104,0.855032498,48.99,2.699611871,0,0,0,0.846899986
1,1,118,gSphere_0_4_(Neg)2_.jpg,sphere,curve,geo,2,1.15258907,66.03854498,2.305112101,0.228102707,13.06933347,0,8.33377099
1,1,119,Plane_1_3_(Neg)5_1_.jpg,plane,curve,arc,2.5198421,0.855032498,48.98979486,2.175834114,0.936325249,53.64753035,1,1.286357164
1,1,120,gSphere_2_1_(Neg)2_.jpg,sphere,curve,geo,3.174802104,0.470542517,26.96012309,1.493836577,0.212401801,12.16973701,1,1.502114058
1,1,121,Sphere_0_2_4_.jpg,sphere,line,arc,2,0.634294209,36.342,1.158886361,0,0,0,0.718673944
1,1,122,Sphere_2_6_(Neg)5_.jpg,sphere,line,arc,3.174802104,2.094393333,120,5.758335544,0,0,0,0.952471018
1,1,123,Sphere_1_3_.jpg,sphere,line,geo,2.5198421,0.855032498,48.99,2.154485162,0,0,1,1.83590889
1,1,124,gPlane_3_6_5_.jpg,plane,curve,geo,4,2.094393333,120,8.377333333,0.713689083,40.8914069,1,1.052191973
1,1,125,Plane_1_2_.jpg,plane,line,geo,2.5198421,0.634294209,36.342,1.598275464,0,0,1,3.035192966
1,1,126,Plane_2_3_4_.jpg,plane,line,arc,3.174802104,0.855032498,48.99,2.479815616,0,0,1,3.400984049
1,1,127,Sphere_2_3_(Neg)2_1_.jpg,sphere,curve,arc,3.174802104,0.855032498,48.98979486,2.718138795,0.373061684,21.37487805,1,4.252537012
