subject_no,version,order,image,surface,planar,spherical,line_length,response,reaction_time,size,separation,pull,spin,point_sep_rad,rotation_angle,height
4,4,77,Plane_2_4_.jpg,plane,line,geo,3.6592452937801516,correct,2.451957941,2,4,0,NA,1.1525900430905907,0,0
4,4,78,Plane_3_2_.jpg,plane,line,geo,2.537178980056968,correct,0.668823957,3,2,0,NA,0.634294745014242,0,0
4,4,86,Plane_1_5_.jpg,plane,line,geo,3.9150748196550467,correct,1.019165993,1,5,0,NA,1.5536984718136575,0,0
4,4,98,Plane_0_1_.jpg,plane,line,geo,0.9410858293948081,correct,0.886505127,0,1,0,NA,0.47054291469740406,0,0
4,4,100,Plane_3_4_.jpg,plane,line,geo,4.610360172362363,correct,0.585891962,3,4,0,NA,1.1525900430905907,0,0
4,4,110,Plane_1_6_.jpg,plane,line,geo,5.2775449526038285,correct,0.936053991,1,6,0,NA,2.094395102393195,0,0
4,4,117,Plane_2_1_.jpg,plane,line,geo,1.4938806355736838,correct,0.801357985,2,1,0,NA,0.47054291469740406,0,0
4,4,123,Plane_3_3_.jpg,plane,line,geo,3.4201328804316375,correct,0.503269911,3,3,0,NA,0.8550332201079094,0,0
4,4,126,Plane_2_5_.jpg,plane,line,geo,4.932685177196768,correct,0.452392101,2,5,0,NA,1.5536984718136575,0,0
4,4,129,Plane_1_1_.jpg,plane,line,geo,1.1856938462122941,correct,0.499904156,1,1,0,NA,0.47054291469740406,0,0
4,4,132,Plane_1_3_.jpg,plane,line,geo,2.154548704746703,correct,0.718729973,1,3,0,NA,0.8550332201079094,0,0
4,4,152,Plane_2_6_.jpg,plane,line,geo,6.649289977552004,correct,1.286261082,2,6,0,NA,2.094395102393195,0,0
4,4,157,Plane_1_0_.jpg,plane,line,geo,0.8795908254339718,correct,0.484084845,1,0,0,NA,0.34906585039886595,0,0
4,4,164,Plane_0_3_.jpg,plane,line,geo,1.7100664402158188,correct,0.53478694,0,3,0,NA,0.8550332201079094,0,0
4,4,177,Plane_2_2_.jpg,plane,line,geo,2.013760290987017,correct,0.568445206,2,2,0,NA,0.634294745014242,0,0
4,4,190,Plane_2_0_.jpg,plane,line,geo,1.1082149962586678,correct,0.701704979,2,0,0,NA,0.34906585039886595,0,0
4,4,213,Plane_3_5_.jpg,plane,line,geo,6.21479388725463,correct,0.568516016,3,5,0,NA,1.5536984718136575,0,0
5,5,2,Plane_1_1_.jpg,plane,line,geo,1.1856938462122941,correct,1.770225048,1,1,0,NA,0.47054291469740406,0,0
5,5,12,Plane_3_1_.jpg,plane,line,geo,1.8821716587896162,correct,2.368976116,3,1,0,NA,0.47054291469740406,0,0
