subject_no,trial,image,surface,planar,spherical,response,reaction_time,correct_ans,given_ans,size,separation,pull,spin,point_sep_rad,rotation_angle,height,line_length,curvature
14,6,Plane_0_1_.jpg,plane,line,geo,correct,1.802947998,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
14,7,Plane_0_5_.jpg,plane,line,geo,correct,1.869577885,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
14,21,Plane_0_0_.jpg,plane,line,geo,correct,1.702950001,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
14,40,Plane_0_2_.jpg,plane,line,geo,correct,1.669548035,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
14,50,Plane_0_4_.jpg,plane,line,geo,correct,1.936326981,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
14,51,Plane_0_3_.jpg,plane,line,geo,correct,1.736238003,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
14,56,Plane_0_6_.jpg,plane,line,geo,correct,2.536231995,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
16,13,Plane_0_4_.jpg,plane,line,geo,correct,3.610900164,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
16,20,Plane_0_2_.jpg,plane,line,geo,correct,2.006011009,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
16,21,Plane_0_5_.jpg,plane,line,geo,correct,1.617325068,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
16,32,Plane_0_6_.jpg,plane,line,geo,correct,1.472789049,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
16,39,Plane_0_0_.jpg,plane,line,geo,correct,1.754993916,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
16,45,Plane_0_3_.jpg,plane,line,geo,correct,1.687352896,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
16,49,Plane_0_1_.jpg,plane,line,geo,correct,3.662384033,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
19,2,Plane_0_1_.jpg,plane,line,geo,correct,4.269683838,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
19,9,Plane_0_3_.jpg,plane,line,geo,correct,2.936366081,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
19,27,Plane_0_0_.jpg,plane,line,geo,correct,1.36964798,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
19,32,Plane_0_4_.jpg,plane,line,geo,correct,1.536251068,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
19,34,Plane_0_6_.jpg,plane,line,geo,correct,1.436243057,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
19,35,Plane_0_5_.jpg,plane,line,geo,correct,1.602916956,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
19,42,Plane_0_2_.jpg,plane,line,geo,correct,1.802878857,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
20,5,Plane_0_3_.jpg,plane,line,geo,correct,1.500500917,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
20,17,Plane_0_5_.jpg,plane,line,geo,correct,1.502928972,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
20,22,Plane_0_2_.jpg,plane,line,geo,correct,1.436328888,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
20,24,Plane_0_0_.jpg,plane,line,geo,correct,1.236078978,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
20,32,Plane_0_4_.jpg,plane,line,geo,correct,1.402921915,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
20,48,Plane_0_6_.jpg,plane,line,geo,correct,1.436187029,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
20,55,Plane_0_1_.jpg,plane,line,geo,correct,1.402934074,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
22,5,Plane_0_3_.jpg,plane,line,geo,correct,3.869626045,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
22,20,Plane_0_6_.jpg,plane,line,geo,correct,2.735975981,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
22,26,Plane_0_5_.jpg,plane,line,geo,correct,3.302849054,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
22,27,Plane_0_4_.jpg,plane,line,geo,correct,3.435913086,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
22,34,Plane_0_2_.jpg,plane,line,geo,correct,3.169476032,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
22,42,Plane_0_1_.jpg,plane,line,geo,correct,3.16952014,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
22,46,Plane_0_0_.jpg,plane,line,geo,correct,2.969717026,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
